419761,19541900000000,18 DE JULHO ADMINISTRADORA DE BENEFÍCIOS LTDA,,Administradora de Benefícios
421545,22870000000000,2B ODONTOLOGIA OPERADORA DE PLANOS ODONTOLÓGICOS LTDA,,Odontologia de Grupo
421421,27452500000000,2CARE OPERADORA DE SAÚDE LTDA.,,Medicina de Grupo
422908,41788800000000,3S ADMINISTRADORA DE BENEFICIOS LTDA,3S ADMINISTRADORA DE BENEFICIOS,Administradora de Benefícios
418030,13138900000000,A.P.S. ADMINISTRADORA DE BENEFÍCOS LTDA.,A.P.S. SAÚDE.,Administradora de Benefícios
314668,17505800000000,ABERTTA SAÚDE - ASSOCIAÇÃO BENEFICENTE DOS EMPREGADOS DA ARCELORMITTAL NO BRASIL,ABERTTA SAÚDE,Autogestão
419621,17687500000000,ABPLUS ADMINISTRADORA DE BENEFÍCIOS LTDA.,,Administradora de Benefícios
424242,56298900000000,ABRANGE ADMINISTRADORA DE BENEFICIOS LTDA.,ABRANGE SAÚDE,Administradora de Benefícios
418901,10458300000000,AD SALUTE ADMINISTRADORA DE BENEFÍCIOS LTDA,AD SALUTE,Administradora de Benefícios
421553,28315800000000,ADM LIFE - ADMINISTRADORA DE BENEFÍCIOS LTDA.,ADM LIFE,Administradora de Benefícios
416932,7867830000000,ADMSERV BENEFÍCIOS E SERVIÇOS LTDA,GÉIA ADMINISTRADORA DE BENEFICIOS,Administradora de Benefícios
422347,37201500000000,ADRESS ADMINISTRADORA DE BENEFICIOS LTDA,ADRESS,Administradora de Benefícios
335657,2041810000000,ADVANCE PLANOS DE SAÚDE LTDA,,Medicina de Grupo
413283,3694370000000,AESP ODONTO ASSISTÊNCIA ODONTOLÓGICA S/S LTDA EPP,,Odontologia de Grupo
419907,22891600000000,AFFIANCE LIFE ADMINISTRADORA DE BENEFÍCIOS EM SAÚDE LTDA,AFFIANCE LIFE BENEFÍCIOS,Administradora de Benefícios
